,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.004557060001388891,0.0,100.0,True,100,0.1,80
1,1,0.043323842000972945,19.34473044324985,202.0,True,100,0.1,80
2,2,0.06813544500255375,21.74195142770823,304.0,True,100,0.1,80
3,3,0.08889406400339794,21.74195142770823,405.0,True,100,0.1,80
4,4,0.11109519200181239,21.74195142770823,506.0,True,100,0.1,80
5,5,0.1337598070022068,21.74195142770823,607.0,True,100,0.1,80
6,6,0.1559826240008988,21.74195142770823,708.0,True,100,0.1,80
7,7,0.17708090100131813,21.74195142770823,809.0,True,100,0.1,80
8,8,0.197947448999912,21.74195142770823,910.0,True,100,0.1,80
9,9,0.21966382700338727,21.74195142770823,1011.0,True,100,0.1,80
10,10,0.244120508999913,21.74195142770823,1112.0,True,100,0.1,80
11,11,0.26640278400009265,21.74195142770823,1213.0,True,100,0.1,80
12,12,0.28794934000325156,21.74195142770823,1314.0,True,100,0.1,80
13,13,0.308865571001661,21.74195142770823,1415.0,True,100,0.1,80
14,14,0.3296315190018504,21.74195142770823,1516.0,True,100,0.1,80
15,15,0.35022293100337265,21.74195142770823,1617.0,True,100,0.1,80
16,16,0.37048610300189466,21.74195142770823,1718.0,True,100,0.1,80
17,17,0.3907346880005207,21.74195142770823,1819.0,True,100,0.1,80
18,18,0.4108792020015244,21.74195142770823,1920.0,True,100,0.1,80
19,19,0.431962842001667,21.74195142770823,2021.0,True,100,0.1,80
20,20,0.4529392240001471,21.74195142770823,2122.0,True,100,0.1,80
21,21,0.47316377900278894,21.74195142770823,2223.0,True,100,0.1,80
22,22,0.49350280100043165,21.74195142770823,2324.0,True,100,0.1,80
23,23,0.5140682340024796,21.74195142770823,2425.0,True,100,0.1,80
24,24,0.5351969310031564,21.74195142770823,2526.0,True,100,0.1,80
25,25,0.5556985930015799,21.74195142770823,2627.0,True,100,0.1,80
26,26,0.5758858310000505,21.74195142770823,2728.0,True,100,0.1,80
27,27,0.5963460250022763,21.74195142770823,2829.0,True,100,0.1,80
28,28,0.6167160290024185,21.74195142770823,2930.0,True,100,0.1,80
29,29,0.6367194310005289,21.74195142770823,3031.0,True,100,0.1,80
30,30,0.6566083790021366,21.74195142770823,3132.0,True,100,0.1,80
31,31,0.6765328200017393,21.74195142770823,3233.0,True,100,0.1,80
32,32,0.6965845930026262,21.74195142770823,3334.0,True,100,0.1,80
33,33,0.7162871690015891,21.74195142770823,3435.0,True,100,0.1,80
34,34,0.7372790150002402,21.74195142770823,3536.0,True,100,0.1,80
35,35,0.7575340550029068,21.74195142770823,3637.0,True,100,0.1,80
36,36,0.7776513120006712,21.74195142770823,3738.0,True,100,0.1,80
37,37,0.7980444050008373,21.74195142770823,3839.0,True,100,0.1,80
38,38,0.8181301080003323,21.74195142770823,3940.0,True,100,0.1,80
39,39,0.8381161249999423,21.74195142770823,4041.0,True,100,0.1,80
40,40,0.8580718970006274,21.74195142770823,4142.0,True,100,0.1,80
41,41,0.8780121520030661,21.74195142770823,4243.0,True,100,0.1,80
42,42,0.8976502040022751,21.74195142770823,4344.0,True,100,0.1,80
43,43,0.9172879190009553,21.74195142770823,4445.0,True,100,0.1,80
44,44,0.9362853750026261,21.74195142770823,4546.0,True,100,0.1,80
45,45,0.9555336869998428,21.74195142770823,4647.0,True,100,0.1,80
46,46,0.9770114540006034,21.74195142770823,4748.0,True,100,0.1,80
47,47,0.9972219810006209,21.74195142770823,4849.0,True,100,0.1,80
48,48,1.0179624900010822,21.74195142770823,4950.0,True,100,0.1,80
49,49,1.0417436950010597,21.74195142770823,5051.0,True,100,0.1,80
50,50,1.0620519860021886,21.74195142770823,5152.0,True,100,0.1,80
51,51,1.1078098899997713,21.74195142770823,5253.0,True,100,0.1,80
52,52,1.1280867990026309,21.74195142770823,5354.0,True,100,0.1,80
53,53,1.1484560620010598,21.74195142770823,5455.0,True,100,0.1,80
54,54,1.1685865390027175,21.74195142770823,5556.0,True,100,0.1,80
55,55,1.1884762910012796,21.74195142770823,5657.0,True,100,0.1,80
56,56,1.2081697909998184,21.74195142770823,5758.0,True,100,0.1,80
57,57,1.2279701290026424,21.74195142770823,5859.0,True,100,0.1,80
58,58,1.2520198400015943,21.74195142770823,5960.0,True,100,0.1,80
59,59,1.2730332230021304,21.74195142770823,6061.0,True,100,0.1,80
60,60,1.293175680002605,21.74195142770823,6162.0,True,100,0.1,80
61,61,1.3183657610024966,21.74195142770823,6263.0,True,100,0.1,80
62,62,1.338271528002224,21.74195142770823,6364.0,True,100,0.1,80
63,63,1.3585788140007935,21.74195142770823,6465.0,True,100,0.1,80
64,64,1.3788862040019012,21.74195142770823,6566.0,True,100,0.1,80
65,65,1.3988156170016737,21.74195142770823,6667.0,True,100,0.1,80
66,66,1.4181470930016076,21.74195142770823,6768.0,True,100,0.1,80
67,67,1.4380323690020305,21.74195142770823,6869.0,True,100,0.1,80
68,68,1.4572331700001087,21.74195142770823,6970.0,True,100,0.1,80
69,69,1.4765579630002321,21.74195142770823,7071.0,True,100,0.1,80
70,70,1.4967044530021667,21.74195142770823,7172.0,True,100,0.1,80
71,71,1.5223234170007345,21.74195142770823,7273.0,True,100,0.1,80
72,72,1.5422419150017959,21.74195142770823,7374.0,True,100,0.1,80
73,73,1.5620111780008301,21.74195142770823,7475.0,True,100,0.1,80
74,74,1.5815866610028024,21.74195142770823,7576.0,True,100,0.1,80
75,75,1.601105745001405,21.74195142770823,7677.0,True,100,0.1,80
76,76,1.62062231100208,21.74195142770823,7778.0,True,100,0.1,80
