,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
93,12,0.012769820998073556,19.623181800060227,145.0,10,0.1,80
94,13,0.013345887997274986,19.90065655038178,157.0,10,0.1,80
95,14,0.013840055999025935,19.90065655038178,168.0,10,0.1,80
96,15,0.014282290998380631,19.90065655038178,179.0,10,0.1,80
97,16,0.014715970999532146,19.90065655038178,190.0,10,0.1,80
98,17,0.015146508998441277,19.90065655038178,201.0,10,0.1,80
99,18,0.015587185996992048,19.90065655038178,212.0,10,0.1,80
100,19,0.01603031099875807,19.90065655038178,223.0,10,0.1,80
101,20,0.016472358998726122,19.90065655038178,234.0,10,0.1,80
102,21,0.016891332998056896,19.90065655038178,245.0,10,0.1,80
103,22,0.017318773996521486,19.90065655038178,256.0,10,0.1,80
104,23,0.01773482399948989,19.90065655038178,267.0,10,0.1,80
105,24,0.01815174500006833,20.01472867919648,279.0,10,0.1,80
106,25,0.018568703999335412,20.01472867919648,290.0,10,0.1,80
107,26,0.018989279997185804,20.01472867919648,301.0,10,0.1,80
108,27,0.019419631997152464,20.01472867919648,312.0,10,0.1,80
109,28,0.019826724997983547,20.02025079632008,324.0,10,0.1,80
110,29,0.02023230599661474,20.02025079632008,335.0,10,0.1,80
111,30,0.02064950699787005,20.587396947264587,347.0,10,0.1,80
112,31,0.02107026899830089,20.587396947264587,358.0,10,0.1,80
113,32,0.021500636998098344,20.587396947264587,369.0,10,0.1,80
114,33,0.02191415400011465,20.587396947264587,380.0,10,0.1,80
115,34,0.02235288399970159,20.661441598998675,392.0,10,0.1,80
116,35,0.022751938999135746,20.661441598998675,403.0,10,0.1,80
117,36,0.023159106000093743,20.661441598998675,414.0,10,0.1,80
118,37,0.023568269996758318,20.661441598998675,425.0,10,0.1,80
119,38,0.023969276997377165,20.661441598998675,436.0,10,0.1,80
120,39,0.02438290799909737,20.661441598998675,447.0,10,0.1,80
121,40,0.02477186899704975,20.661441598998675,458.0,10,0.1,80
122,41,0.025164509999740403,20.661441598998675,469.0,10,0.1,80
123,42,0.025557521999871824,20.874302685675687,481.0,10,0.1,80
124,43,0.02596485499816481,20.98184894171602,493.0,10,0.1,80
125,44,0.026357271999586374,20.98184894171602,504.0,10,0.1,80
126,45,0.02676089199667331,20.98184894171602,515.0,10,0.1,80
127,46,0.027159449997270713,20.98184894171602,526.0,10,0.1,80
128,47,0.027558923997275997,20.98184894171602,537.0,10,0.1,80
129,48,0.027958414997556247,20.98184894171602,548.0,10,0.1,80
130,49,0.028362252000079025,20.98184894171602,559.0,10,0.1,80
131,50,0.028792736997274915,21.756103180813675,571.0,10,0.1,80
132,51,0.02922592599861673,21.756103180813675,582.0,10,0.1,80
